Open,Day Range,52 Week Range,Market Cap,Shares Outstanding,Public Float,Beta,Rev. per Employee,P/E Ratio,EPS,Yield,Dividend,Ex-Dividend Date,Short Interest,% of Float Shorted,Average Volume,Instrument
6.20,6.00 - 6.50,1.60 - 10.60,3.49B,0,0,0,19.184M,19.52,0.33,0,0,0,0,0,3.11M,SIRA.N0000
36.90,30.00 - 36.90,17.50 - 42.00,289.8M,0,0,0,1.518M,0,-6.24,0,0,0,0,0,7.7K,SIGV.N0000
55.90,51.40 - 55.90,20.00 - 86.00,20.58B,0,43.42M,0,18.606M,11.56,4.50,0,0,0,0,0,137.67K,SINS.N0000
14.00,14.00 - 14.00,7.40 - 19.40,2.83B,0,28.19M,0,6.946M,6.64,2.11,0,0,0,0,0,177.18K,SFIN.N0000
92.10,92.00 - 96.80,50.00 - 140.00,990.04M,0,0,0,7.323M,0,-0.59,0,0,0,0,0,3.76K,SINI.N0000
1.90,1.90 - 2.10,1.20 - 3.90,0,0,0,0,0,0,0,0,0,0,0,0,1.3M,SINH.N0000
8.00,8.00 - 8.00,5.00 - 11.00,503.67M,0,0,0,0,0,-0.04,0,0,0,0,0,26.99K,SFL.N0000
0.50,0.50 - 0.60,0.30 - 1.50,899.28M,0,0,0,0,0,-0.02,0,0,0,0,0,5.15M,SEMB.N0000
0.30,0.20 - 0.30,0.20 - 0.70,899.28M,0,0,0,0,0,-0.02,0,0,0,0,0,6.25M,SEMB.X0000
3.80,3.70 - 3.80,2.91 - 5.60,3.62B,977.19M,0,0,0,0,-0.83,0,0,0,0,0,1.32M,SCAP.N0000
10.10,10.10 - 10.20,9.00 - 15.00,2.71B,268.76M,0,0,6.714M,0,-10.78,0,0,0,0,0,32.09K,CRL.N0000
12.00,12.00 - 12.50,9.80 - 15.30,14.91B,0,58.65M,0,6.803M,0,-5.69,0.00%,0.50,Aug 8 2019,0,0,468.96K,SHL.N0000
31.00,30.80 - 31.00,20.00 - 37.50,11.63B,0,0,0,0,7.58,4.06,0,0,0,0,0,492.43K,AAIC.N0000
34.80,34.20 - 34.80,18.00 - 42.90,62.99B,0,0,0,0,7.66,4.48,0,0,0,0,0,35.88K,SLTL.N0000
70.00,69.90 - 71.40,40.50 - 190.60,395.62M,0,0,0,0,0,-1.61,0,0,0,0,0,1.68K,SING.N0000
78.20,77.50 - 80.00,36.00 - 105.00,11.95B,0,16.76M,0,0,9.55,8.16,0,0,0,0,0,421.6K,SUN.N0000
16251,16251 - 18325,12200 - 22800,2.74B,0,0,0,0,17.11,1071,0,0,0,0,0,2.32,SWAD.N0000
102.00,102.00 - 110.00,22.00 - 176.00,3.05B,0,0,0,12.699M,8.80,11.95,0,0,0,0,0,322.66K,PARQ.N0000
13.10,13.00 - 14.00,7.70 - 17.80,1.75B,0,11.34M,0,0,0,-6.13,0,0,0,0,0,19.57K,TAJ.N0000
38.20,37.00 - 38.30,18.50 - 57.75,1.82B,47.5M,0,0,633.48K,3.83,9.83,0,0,0,0,0,68.25K,TPL.N0000
40.00,40.00 - 40.00,25.00 - 55.20,800M,0,0,0,0,0,-4.45,0,0,0,0,0,2.38K,TANG.N0000
36.60,36.00 - 36.60,19.10 - 45.80,1.12B,0,0,0,3.700M,13.56,2.65,0,0,0,0,0,3.15K,TSML.N0000
40.10,40.00 - 40.80,18.00 - 46.50,28.44B,0,251.25M,0,12.730M,15.65,2.56,0,0,0,0,0,919.42K,TJL.N0000
0.60,0.50 - 0.60,0.30 - 1.00,194.9M,0,0,0,0,0,-0.04,0,0,0,0,0,1.96M,TESS.N0000
853.00,853.00 - 1123.20,793.60 - 1400.00,5.4B,0,0,0,0,11987.19,0.09,0,0,0,0,0,14.11,INDO.N0000
209.00,196.25 - 217.00,70.00 - 295.00,5.17B,0,0,0,0,5.74,34.86,0,0,0,0,0,77.18K,TAFL.N0000
71.00,67.50 - 71.00,19.20 - 90.00,27.51B,0,67.48M,0,25.900M,5.73,12.05,0,0,0,0,0,825.51K,TKYO.N0000
64.80,59.10 - 64.80,16.00 - 82.00,27.51B,0,101.16M,0,25.900M,5.10,12.05,0,0,0,0,0,1.57M,TKYO.X0000
57.00,57.00 - 58.90,55.00 - 70.00,11.92B,0,0,0,3.805M,0,-1.39,0,0,0,0,0,279.57,TRAN.N0000
21.00,20.40 - 21.00,17.60 - 41.50,440.35M,0,0,0,0,0,-9.30,0,0,0,0,0,8.34K,UDPL.N0000
318.00,314.25 - 318.50,274.90 - 350.00,18.52B,0,2.58M,0,0,15.81,19.87,0,0,0,0,0,2.67K,UAL.N0000
11.60,10.80 - 11.60,6.50 - 17.00,11.92B,0,0,0,11.901M,15.30,0.72,0,0,0,0,0,1.85M,UBC.N0000
