Open,Day Range,52 Week Range,Market Cap,Shares Outstanding,Public Float,Beta,Rev. per Employee,P/E Ratio,EPS,Yield,Dividend,Ex-Dividend Date,Short Interest,% of Float Shorted,Average Volume,Instrument
['රු.1.40'],['1.20 - 1.40'],['0.50 - 1.70'],['රු.367.9M'],['N/A'],['N/A'],['N/A'],['රු.10.206M'],['N/A'],['-රු.0.09'],['N/A'],['N/A'],['N/A'],['N/A'],['N/A'],['589.18K'],MULL.N0000?countryCode=LK
['රු.8.50'],['8.50 - 9.00'],['7.90 - 13.60'],['රු.534.33M'],['N/A'],['N/A'],['N/A'],['රු.2.567M'],['N/A'],['-රු.1.67'],['N/A'],['N/A'],['N/A'],['N/A'],['N/A'],['6.96K'],MFL.N0000?countryCode=LK
['රු.200.00'],['196.00 - 200.00'],['69.20 - 202.00'],['රු.4.75B'],['N/A'],['0'],['N/A'],['රු.461.20K'],['7.94'],['රු.24.74'],['N/A'],['N/A'],['N/A'],['N/A'],['N/A'],['6.6K'],NAMU.N0000?countryCode=LK
['රු.0.90'],['0.80 - 1.00'],['0.40 - 1.40'],['රු.1.22B'],['N/A'],['N/A'],['N/A'],['රු.3.912M'],['N/A'],['-රු.0.03'],['N/A'],['N/A'],['N/A'],['N/A'],['N/A'],['1.19M'],CSF.N0000?countryCode=LK
['රු.100.00'],['89.00 - 100.00'],['56.80 - 105.75'],['රු.22.66B'],['232.64M'],['131.37M'],['N/A'],['රු.19.728M'],['3.91'],['රු.24.53'],['1.99%'],['රු.2.00'],"['Feb 28, 2020']",['N/A'],['N/A'],['408.22K'],NDB.N0000?countryCode=LK
['රු.65.60'],['62.90 - 65.60'],['52.60 - 80.00'],['රු.18.63B'],['245.13M'],['86.09M'],['N/A'],['රු.14.055M'],['4.19'],['රු.15.08'],['N/A'],['N/A'],['N/A'],['N/A'],['N/A'],['107.85K'],NTB.N0000?countryCode=LK
['රු.5.50'],['5.40 - 5.90'],['2.60 - 7.70'],['රු.7.75B'],['N/A'],['363.01M'],['N/A'],['රු.3.712M'],['N/A'],['-රු.0.07'],['N/A'],['N/A'],['N/A'],['N/A'],['N/A'],['317.28K'],NHL.N0000?countryCode=LK
"['රු.1,255.00']","['1,255.00 - 1,300.00']","['985.00 - 1,375.00']",['රු.67.29B'],['N/A'],['4.4M'],['N/A'],['රු.45.558M'],['23.42'],['රු.55.34'],['N/A'],['N/A'],['N/A'],['N/A'],['N/A'],['948.4'],NEST.N0000?countryCode=LK
"['රු.1,190.00']","['1,171.50 - 1,190.00']","['792.00 - 1,299.80']",['රු.2.56B'],['N/A'],['N/A'],['N/A'],['රු.1.938M'],['N/A'],['-රු.1.44'],['N/A'],['N/A'],['N/A'],['N/A'],['N/A'],['57.66'],NEH.N0000?countryCode=LK
['රු.20.50'],['19.80 - 20.50'],['14.50 - 24.00'],['රු.5.61B'],['N/A'],['27.99M'],['N/A'],['රු.6.740M'],['N/A'],['-රු.5.74'],['N/A'],['N/A'],['N/A'],['N/A'],['N/A'],['3.56K'],ODEL.N0000?countryCode=LK
